公金支出情報（令和元年５月（出納整理期間）分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,　　　支払額　（円）　
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,防災管理費,防災指導費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"32,400 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,区市町村振興費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"32,400 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,人権対策費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"16,200 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"19,440 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"64,800 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"77,760 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"19,440 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,総務管理費,財務管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"194,400 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,徴税費,徴税管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"259,200 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,生活文化費,生活文化費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"194,400 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,スポーツ振興費,スポーツ振興管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"116,640 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,都市整備費,都市整備管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"58,320 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,環境費,環境管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"38,880 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,福祉保健費,福祉保健管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"174,960 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,産業労働費,産業労働管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"388,800 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,土木費,土木管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"210,600 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,会計管理費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"97,200 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,選挙費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"19,440 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,人事委員会費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"194,400 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,産業労働費,労働委員会費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"38,880 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,諸支出金,収用委員会費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"19,440 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,議会費,都議会費,事務局費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"259,200 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,監査委員費,管理費,役務費,「i-Jump」の利用(平成30年度)に係る経費の支出,"38,880 "
政策企画局,政策調整部,報道課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支出について（３月分）,"37,411 "
政策企画局,政策調整部,報道課,令和01年05月08日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複写サービス契約に関する経費の支出,"66,954 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月08日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度都内外資系企業基礎調査委託,"4,849,200 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月08日,一般会計,総務費,政策企画費,管理費,委託料,H30東京圏国家戦略特別区域に係る経済波及効果等委託,"6,696,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月08日,一般会計,総務費,政策企画費,管理費,委託料,国家戦略特区法における農家レストランの特例制度委託,"5,400,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度東京金融賞に係る企画・運営業務委託,"59,940,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,総務費,政策企画費,管理費,委託料,「国際金融都市・東京」実現のための調査検討委託,"8,640,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度一般社団法人設立に伴う法律事務委託,"1,296,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,総務費,政策企画費,管理費,委託料,デジタル地域通貨の活用に関する調査・検討委託,"324,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,総務費,政策企画費,管理費,役務費,「東京の特区」に関する資料の翻訳委託（単価契約）,"1,150,848 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,総務費,政策企画費,管理費,委託料,ビジネスコンシェルジュ東京等の運営委託（第４四半期）,"29,385,634 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,産業労働費,商工業振興費,経営技術支援費,委託料,ビジネスコンシェルジュ東京等の運営委託（第４四半期）,"1,664,366 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月09日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度女性向け金融セミナーに係る企画・運営委託,"4,264,920 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月10日,一般会計,総務費,政策企画費,管理費,委託料,H30外国人創業人材受入促進に係る創業活動確認委託,"486,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月13日,一般会計,総務費,政策企画費,管理費,委託料,H30創薬系ベンチャー育成支援業務委託（後半支払分）,"32,383,685 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月13日,一般会計,総務費,政策企画費,管理費,役務費,光回線の支払（３月分）,"6,912 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月15日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,新聞購読料（国民民主プレス）の支払,"2,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月17日,一般会計,総務費,政策企画費,管理費,委託料,インフラ点検におけるドローン利活用調査委託,"21,362,400 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月21日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,株式会社みずほ銀行派遣研修に係る旅費の追給について,"45,238 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月21日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,旅費の支出について,"5,420 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月21日,一般会計,総務費,政策企画費,管理費,委託料,「Society5.0」実現加速のための調査・検討委託,"2,160,000 "
政策企画局,総務部,渉外課（旧渉外課）,令和01年05月29日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,UDタクシー用スロープ外１点の購入,"3,655,454 "
政策企画局,外務部,管理課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日旅費の支出について（平成31年2月不適合除外分）,"16,297 "
政策企画局,外務部,管理課,令和01年05月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い(3月分),"80,906 "
政策企画局,外務部,管理課,令和01年05月22日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,「エコノミスト」の購読,"44,300 "
政策企画局,外務部,管理課,令和01年05月27日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について（３１年３月システム分）,"1,677 "
政策企画局,外務部,管理課,令和01年05月29日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日旅費の支出（20年10月〜31年3月非システム分）,"6,903 "
政策企画局,外務部,管理課,令和01年05月30日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,「選択」の購読,"12,000 "
政策企画局,外務部,事業課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,多都市間の実務的協力事業に係る翻訳委託（単価契約）,"236,304 "
政策企画局,外務部,事業課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,多都市間の実務的協力事業に係る翻訳委託（単価契約）,"167,400 "
政策企画局,計画部,計画課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,新聞「交通新聞」の購読,"27,768 "
政策企画局,計画部,計画課,令和01年05月10日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,旅費の支給について（平成31年３月分・不適合除外分）,"53,484 "
政策企画局,計画部,計画課,令和01年05月13日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー供給契約に係る継続支払,"40,951 "
政策企画局,計画部,計画課,令和01年05月22日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,旅費の支給について（平成31年３月分）（その２）,339 
総務局,総務部,企画計理課,令和01年05月07日,一般会計,学務費,公立大学法人首都大学東京支援費,公立大学法人首都大学東京支援費,委託料,平成31年度科学技術週間東京都特別行事の事前準備委託,"2,127,600 "
総務局,総務部,企画計理課,令和01年05月08日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,ネットワークプリンタの借入れに係る経費の支出,"22,032 "
総務局,総務部,企画計理課,令和01年05月09日,一般会計,学務費,公立大学法人首都大学東京支援費,公立大学法人首都大学東京支援費,需用費 一般需用費,平成31年度科学技術週間特別行事広報ポスターの印刷,"483,732 "
総務局,総務部,企画計理課,令和01年05月14日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,チケットによるタクシー利用料金の支払（３月分）,"1,214,472 "
総務局,総務部,企画計理課,令和01年05月16日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,ゴム印の購入(単価契約）経費の支出(1月〜3月分),"4,147 "
総務局,総務部,企画計理課,令和01年05月21日,一般会計,総務費,総務管理費,総務管理費,委託料,都市の防災フォーラムTokyo会議運営準備委託,"7,506,000 "
総務局,総務部,文書課,令和01年05月08日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,サーバ機器等の借入れ,"63,180 "
総務局,総務部,文書課,令和01年05月08日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,NWプリンタの借入れに係る経費の支出（１〜３月）,"57,348 "
総務局,総務部,文書課,令和01年05月08日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,官報外２件の購入,"43,692 "
総務局,総務部,文書課,令和01年05月08日,一般会計,総務費,総務管理費,総務管理費,役務費,官報外２件の購入,"58,056 "
総務局,総務部,文書課,令和01年05月08日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,雑誌の購入（概算契約）に係る経費の支出,"36,119 "
総務局,総務部,文書課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,東京都令規集追録の印刷等に係る経費の支出（3月分）,"771,120 "
総務局,総務部,文書課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,役務費,東京都令規集追録の印刷等に係る経費の支出（3月分）,"86,119 "
総務局,総務部,文書課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,委託料,東京都公報等のマイクロフィルム撮影等委託の支出,"1,467,819 "
総務局,総務部,文書課,令和01年05月13日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,印章（公印）の購入,"64,800 "
総務局,総務部,文書課,令和01年05月13日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,印章（公印）の購入（単価契約）に係る経費の支出,"90,396 "
総務局,総務部,文書課,令和01年05月13日,一般会計,総務費,総務管理費,総務管理費,役務費,平成30年度文書の保存委託(単価契約)に係る経費の支出,"9,310,816 "
総務局,総務部,文書課,令和01年05月15日,一般会計,総務費,総務管理費,総務管理費,委託料,東京都公報の編集及び印刷の支出（３月分）,"756,756 "
総務局,総務部,文書課,令和01年05月15日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,東京都公報の編集及び印刷の支出（３月分）,"1,678,752 "
総務局,総務部,文書課,令和01年05月16日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,雑誌の購入（日経コンピュータ）,"22,875 "
総務局,総務部,文書課,令和01年05月17日,一般会計,総務費,総務管理費,総務管理費,役務費,文書総合管理システムバックアップテープ保管委託（単価契約）,"9,342 "
総務局,総務部,文書課,令和01年05月17日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,文書総合管理システム用機器（増設分）の借入れ,"286,200 "
総務局,総務部,文書課,令和01年05月21日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,雑誌の購入,"30,240 "
総務局,総務部,法務課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,役務費,速記委託（単価契約）に係る経費の支出,"149,688 "
総務局,総務部,法務課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,役務費,速記委託（単価契約）に係る経費の支出,"166,320 "
総務局,総務部,法務課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,役務費,判例情報等検索サービスの利用に係る経費の支出,"207,360 "
総務局,総務部,法務課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,役務費,判例情報等検索サービス追加機能利用に係る経費の支出,"28,350 "
総務局,総務部,法務課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,雑誌の購入（概算契約）に係る経費の支出,"104,587 "
総務局,総務部,法務課,令和01年05月13日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,複写サービスに関する契約(単価契約)に係る経費の支出,"34,894 "
総務局,総務部,法務課,令和01年05月14日,一般会計,総務費,総務管理費,総務管理費,需用費 一般需用費,証人調書等の複写の購入（単価契約）に係る経費の支出,"1,734 "
総務局,総務部,法務課,令和01年05月20日,一般会計,総務費,総務管理費,総務管理費,報償費,賠償請求に係る法律相談業務の謝金の支払について,"188,381 "
総務局,総務部,総務課,令和01年05月07日,一般会計,総務費,総務管理費,総務管理費,委託料,都庁舎監視カメラ設備システム保守委託,"18,360,000 "
総務局,総務部,総務課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,役務費,冬制服外９件のクリーニング（単価契約）の経費支出,"49,723 "
総務局,総務部,総務課,令和01年05月09日,一般会計,総務費,総務管理費,総務管理費,委託料,解施錠管理機構機器保守委託,"6,652,800 "
